movie_id,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,director,stars
384642,Kicking & Screaming,2005.0,5.6,36033,1013.4,122,224,110,45000000.0,56070433,361,6.1679140073958525
84434,An Officer and a Gentleman,1982.0,7.0,49133,1437.0,188,224,65,7500000.0,129795554,793,6.160400576241701
6736198,Solteras,2019.0,5.9,2003,1187.4,99,181,203,1450000.0,3231457,501,6.152726662075629
1634524,Órói,2010.0,6.8,1451,1977.2,188,152,172,2000000.0,114203,78,6.162355603394162
110588,Mrs. Parker and the Vicious Circle,1994.0,6.4,4194,1289.2,92,58,64,7000000.0,2144667,21,6.16484320571141
488820,Antonio guerriero di Dio,2006.0,6.3,176,1396.0,85,165,174,7304388.0,95817,61,6.144694933078258
457643,Bôkoku no îjisu,2005.0,5.4,239,642.4,35,168,177,12000000.0,16869261,437,6.19947744603827
112851,Desperado,1995.0,7.2,170347,2244.4,26,184,132,7000000.0,25405445,697,6.159469042781339
9258012,Uzly a pomerance,2019.0,6.2,31,1359.8,163,75,51,1643487.0,41827,318,6.179923344566845
1716777,People Like Us,2012.0,7.1,41386,1289.0,110,224,132,16000000.0,12558931,27,6.159914073157663
1145479,Täällä Pohjantähden alla,2009.0,6.8,658,2070.6,192,99,144,3165234.0,1942703,805,6.164693549471211
78346,Superman,1978.0,7.3,158105,2041.2,5,56,64,55000000.0,300218018,683,6.168785546616471
111579,Utomlennye solntsem,1994.0,7.9,14235,2544.0,173,124,156,2800000.0,2313461,608,6.169265545866446
1190539,Chugyeokja,2008.0,7.8,57674,1772.2,26,209,181,2650000.0,36495748,308,6.19767759113797
1740707,Trolljegeren,2010.0,7.0,68448,1755.8,166,190,126,2288698.0,5341098,50,6.165576908555814
1640484,Jumping the Broom,2011.0,5.7,10102,864.6,110,224,64,6600000.0,38158601,726,6.1545114653481034
128214,"First Love, Last Rites",1997.0,5.2,313,859.2,188,224,64,300000.0,42953,363,6.165478584301502
5893264,D'après une histoire vraie,2017.0,5.7,5672,1175.8,187,28,147,12173980.0,3988331,713,6.156137040490504
92632,The Believers,1987.0,6.1,6222,1275.4,144,57,64,13000000.0,18753438,397,6.169985019133249
7059844,Dabangg 3,2019.0,3.2,9936,82.6,15,155,167,1356700.0,14784628,659,6.17247830340043
1174035,Echte Wiener - Die Sackbauer-Saga,2008.0,6.6,271,1725.0,110,16,159,1217398.0,3464221,474,6.1612199509881185
2705574,Mittsommernachtstango,2013.0,7.4,127,2057.2,156,5,68,774265.0,243502,838,6.1611468931228455
1499658,Horrible Bosses,2011.0,6.9,419582,2195.2,100,224,64,35000000.0,209838559,741,6.1675339924390284
117737,Stealing Beauty,1996.0,6.6,25839,1735.0,185,120,72,10000000.0,4762310,91,6.162643887325164
2576852,Kaguyahime no monogatari,2013.0,8.0,37835,2334.0,50,168,177,48195000.0,24638337,315,6.1631713155451795
1904996,Parker,2013.0,6.2,112900,982.0,26,224,64,35000000.0,46922566,793,6.169083179232799
1106860,Ca$h,2010.0,6.0,9106,1220.4,152,224,64,7000000.0,46488,764,6.171921396981387
382077,Hide and Seek,2005.0,6.0,81273,1184.8,176,145,64,30000000.0,127369981,393,6.180222278383827
102004,The Hard Way,1991.0,6.4,18373,1662.6,16,224,64,24000000.0,65595485,378,6.161126770243209
1188992,Haarautuvan rakkauden talo,2009.0,6.4,1245,1634.0,110,99,144,1668319.0,1846748,573,6.179238856035327
459748,Generation P,2011.0,6.8,3626,1906.8,117,203,198,7000000.0,4653071,833,6.155906039237085
2403393,Desert Dancer,2014.0,6.2,1783,995.2,95,185,64,4000000.0,438165,688,6.172122702569569
78239,Sgt. Pepper's Lonely Hearts Club Band,1978.0,4.2,6004,849.4,58,224,64,18000000.0,20378470,561,6.145667287119961
7241654,In the Absence of Good Men,2017.0,4.4,1362,352.4,23,224,64,5000000.0,5124,806,6.160172236772699
2361700,Antarctica: A Year on Ice,2013.0,7.6,3319,2233.8,53,189,64,1000000.0,288757,58,6.16151860761824
3923572,Milionari,2014.0,5.9,164,1208.0,88,165,176,2434796.0,79088,26,6.164571459331691
143746,Molly,1999.0,5.8,2687,1174.4,116,224,64,21000000.0,17650,382,6.164190525297242
1756851,Twixt,2011.0,4.8,10381,1295.6,125,224,64,7000000.0,647839,252,6.161587014301468
1654523,Night Train to Lisbon,2013.0,6.8,18196,2053.4,219,140,127,9373964.0,12020387,94,6.163057625139456
100935,Wild at Heart,1990.0,7.2,82837,2047.0,101,224,132,9500000.0,14560247,179,6.165529400513281
83767,Creepshow,1982.0,6.9,42131,1612.0,125,224,64,8000000.0,21028755,271,6.165138578035265
2395427,Avengers: Age of Ultron,2015.0,7.3,733367,1567.2,10,224,118,250000000.0,1402809540,423,6.156843964642767
1562847,Amigo,2010.0,5.8,545,1150.0,198,224,65,1500000.0,184705,396,6.1665965250076935
87054,Choose Me,1984.0,6.7,2604,1567.6,116,224,64,700000.0,2490233,21,6.161741543880346
6423362,The Sun Is Also a Star,2019.0,5.9,5926,1048.0,182,224,118,9000000.0,6750029,720,6.165515567712269
90660,Armed and Dangerous,1986.0,5.7,10605,847.4,16,224,64,12000000.0,15945534,529,6.163186380622807
2084007,Lora ot sutrin do vecher,2011.0,5.9,509,1136.0,59,37,28,6086.0,79721,198,6.164413171257414
241760,The New Guy,2002.0,5.9,33560,1221.0,99,224,64,13000000.0,31167388,218,6.180115401581864
101412,Beastmaster 2: Through the Portal of Time,1991.0,4.1,2938,637.0,7,131,64,6000000.0,869325,783,6.164582135893475
120857,Un tè con Mussolini,1999.0,6.9,10972,1848.0,120,166,110,12000000.0,14401563,254,6.1776277803128625
