tconst,name,year,rating,rating_count,story_line,genres,country,language,budget,gross,runtime,director,stars
tt2525596,Ah Boys to Men,2012.0,6.1,478,"The film opens with the Republic of Singapore apparently being under an immense invasion from a fictional army, with iconic Singaporean landmarks (such as the Merlion and the Esplanade) coming under fire and many civilians killed brutally. It is later revealed that the war was fictitious setting of a war-based role-playing game played by Ken Chow (Joshua Tan), a rich and spoiled child reluctant to enlist into National Service. Ken plans to study abroad with his girlfriend Amy (Bong Qiu Ting), but his plans are derailed by NS. After being chided by Amy for his childishness, Ken takes it out on a nearby rubbish bin, to be apprehended by two policemen in the vicinity. A disappointed and embarrassed Amy looked very sad and angry.Back home, after being driven back by his father (Richard Low), Ken confides to his parents about his fears of National Service. His overprotective mother (Irene Ang) decides to help him think of ways to defer, but to no avail. Eventually, they are all forced to ...",Comedy,Singapore,English,"SGD1,500,000","$5,751,428",1h 50min,Jack Neo,"Noah Yap,Tosh Zhang,Weiliang Wang"
tt0405296,A Scanner Darkly,2006.0,7.1,"106,043","In a totalitarian society in a near future, the undercover detective Bob Arctor is working with a small time group of drug users trying to reach the big distributors of a brain-damaging drug called Substance D. His assignment is promoted by the recovery center New Path Corporation, and when Bob begins to lose his own identity and have schizophrenic behavior, he is submitted to tests to check his mental conditions.","Animation,Crime,Drama",USA,English,"$8,700,000","$7,659,918",1h 40min,Richard Linklater,"Keanu Reeves,Robert Downey Jr.,Winona Ryder"
tt0456340,Caótica Ana,2007.0,6.4,"4,444","The teenager artist Ana is raised in Ibiza by her German father Klaus in a naturalist lifestyle in a cave. One day, she meets a woman called Justine that invites Ana to move to Madrid, offering education and economical support, to live in an old house with other artists having classes of Arts and with the only commitment of studying. Ana befriends her mate Linda (Bebe) and falls in love for the problematic Said, having her first sexual experience with him. After a period together, Said leaves Ana, and then she is hypnotized by Anglo, discovering her past lives and deaths.","Drama,Mystery,Romance",Spain,"Arabic,English,French,Spanish","EUR9,000,000","$2,104,037",1h 58min,Julio Medem,"Bebe,Charlotte Rampling,Manuela Vellés"
tt0384286,Cry Wolf,2005.0,5.8,"25,916","Nobody believes a liar - even when they're telling the truth. When a young woman is found murdered, a group of local high school students decide to further scare their classmates by spreading online rumors that a serial killer called ""The Wolf"" is on the loose. By describing ""The Wolf's"" next victims, the students' game is to see how many people they can convince - and if anyone will uncover the lie. But when the described victims actually do start turning up dead, suddenly no one knows where the lies end and the truth begins. As someone or something begins hunting the students themselves, the game turns terrifyingly real.","Drama,Horror,Mystery",USA,English,"$1,000,000","$32,586,408",1h 30min,Jeff Wadlow,"Jared Padalecki,Julian Morris,Lindy Booth"
tt0067588,Play Misty for Me,1971.0,7.0,"25,424","Disc jockey Dave Garver (Clint Eastwood) attracts the amorous attentions of a demented fan named Evelyn Draper (Jessica Walter). Evelyn lets Dave pick her up at a bar. Later at her apartment, Evelyn admits that she is the cooing caller who repeatedly asks Dave to play the Erroll Garner classic ""Misty"". From then on, this movie is a lesson in how one casual date can turn your whole life around. Evelyn stalks Dave everywhere, ruins his business lunch, assaults his maid, mutilates his house and all of his belongings, and finally threatens to butcher his girlfriend Tobie Williams (Donna Mills). You'll never be able to hear that song again without looking over your shoulder.","Drama,Thriller",USA,English,"$725,000","$10,600,000",1h 42min,Clint Eastwood,"Clint Eastwood,Donna Mills,Jessica Walter"
tt0113819,Mighty Aphrodite,1995.0,7.0,"37,811","Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.","Comedy,Fantasy,Romance",USA,"English,Latin","$15,000,000","$6,468,498",1h 35min,Woody Allen,"Mira Sorvino,Pamela Blair,Woody Allen"
tt1132626,Saw V,2008.0,5.8,"114,441","Detective Mark Hoffman is deemed a hero after he saves a young girl and ""escapes"" one of Jigsaw's games, or so it seems. Special Agent Peter Strahm is suspicious of him after an injured Agent Lindsay Perez says Hoffman's name. While Agent Strahm looks into Detective Hoffman's past, five people, who helped burn down a building which was supposedly abandoned, face a series of tests set up by Jigsaw.","Action,Adventure,Crime","Canada,USA",English,"$10,800,000","$113,864,059",1h 32min,David Hackl,"Costas Mandylor,Scott Patterson,Tobin Bell"
tt0460975,Unidentified,2006.0,3.5,594,"A pair of enterprising young reporters from ""Both Sides"" magazine are sent to Texas to investigate a rash of UFO sightings. Their investigation reveals a supernatural element that forces a wedge between the two reporters. As they pursue their separate and conflicting theories, their lives begin to change.",Sci-Fi,USA,English,"$400,000","$224,099",1h 25min,Rich Christiano,"Jonathan Aube,Josh Adamson,Michael Blain-Rozgay"
tt1194231,Il grande sogno,2009.0,5.7,815,"Italian Revolution, 1968. Police officer, Nicolas, wants to become an actor. He goes out in plain clothes and meets Laura who is among students against the government, Vietnam War and who seek sexual freedom. One day, his identity gets exposed and she leaves him.",Drama,"France,Italy",Italian,"EUR10,000,000","$4,731,185",1h 41min,Michele Placido,"Jasmine Trinca,Luca Argentero,Riccardo Scamarcio"
tt2392451,Vulcania,2015.0,4.8,207,Vulcania is a small isolated community led by an enigmatic leader where nothing is quite what it seems.,Thriller,"France,Spain,Sweden",Spanish,"EUR700,000","$4,901",1h 30min,José Skaf,"Aura Garrido,Ginés García Millán,Miquel Fernández"
tt0241025,Vanity Fair,2004.0,6.2,"21,022","The British Empire flowers; exotic India colors English imaginations. Becky Sharp (Reese Witherspoon), the orphaned daughter of a painter and a singer, leaves a home for girls to be a governess, armed with a keen wit, good looks, fluent French, and an eye for social advancement. Society tries its best to keep her from climbing. An episodic narrative follows her for twenty years, through marriage, Napoleonic wars, a child, loyalty to a school friend, the vicissitudes of the family whose daughters she instructed, and attention from a bored marquess who collected her father's paintings. Honesty tempers her schemes.",Drama,"India,UK,USA","English,French,German","$23,000,000","$19,463,185",2h 21min,Mira Nair,"James Purefoy,Reese Witherspoon,Romola Garai"
tt0156812,My Dog Skip,2000.0,7.0,"19,235","A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris.","Comedy,Drama,Family",USA,"English,German","$6,000,000","$35,547,761",1h 35min,Jay Russell,"Diane Lane,Frankie Muniz,Kevin Bacon"
tt0380817,Winter Passing,2005.0,6.3,"8,116","Actress Reese Holden has been offered a small fortune by a book editor if she can secure for publication the love letters that her father, a reclusive novelist, wrote to her mother, who has since passed away. Returning to Michigan, Reese finds that an ex-grad student and a would-be musician have moved in with her father, who cares more about his new friends than he does about his own health and well-being.","Comedy,Drama",USA,English,"$3,500,000","$113,783",1h 38min,Adam Rapp,"Ed Harris,Will Ferrell,Zooey Deschanel"
tt0851515,Feng kuang de sai che,2009.0,7.3,"2,034","Assassins, scammers, gangsters, cops, a washed-up bicycle racer, and a body continually cross paths; usually with negative outcomes.","Action,Adventure,Comedy",China,"Hokkien,Mandarin","CNY15,000,000","$15,845,355",1h 39min,Hao Ning,"Bo Huang,Kung-Wei Lu,Morris Hsiang Jung"
tt0193854,A Shot at Glory,2000.0,6.3,"2,129","Gordon McLeod is the manager of a second tier Scottish football team. Faced with pressure from his American owner, he is forced to bring on a marquee player to improve the fortunes of the team and prevents its being moved from the fiercely loyal town it's been for a century. Along the way, McLeod must battle his own demons, including long-standing tiffs with both his daughter and a former colleague who betrayed him.","Drama,Sport","UK,USA",English,"$9,000,000","$133,122",1h 54min,Michael Corrente,"Andy Gray,Michael Keaton,Robert Duvall"
